Evaluation metric,Linear SVM,RBF SVM
Accuracy,0.9824561403508771,0.9736842105263158
Precision,1.0,1.0
Recall,0.9523809523809523,0.9285714285714286
F1-Score,0.975609756097561,0.9629629629629629
ROC-AUC,0.9963624338624338,0.9957010582010581
